codigoestacion,codigosensor,fechaobservacion,valorobservado,nombreestacion,departamento,municipio,zonahidrografica,latitud,longitud,descripcionsensor,unidadmedida
0021205526,0068,2024-04-06T19:00:00.000,14.87427,PEDRO PALO,CUNDINAMARCA,TENA,ALTO MAGDALENA,4.69052778,-74.38905556,TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T09:12:00.000,19,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
0021205519,0068,2024-04-06T02:00:00.000,11.54785,SAN FORTUNATO,CUNDINAMARCA,SIBATÉ,ALTO MAGDALENA,4.45211111,-74.27228806,TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T12:54:00.000,22.4,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T06:08:00.000,17.6,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
0021205524,0068,2024-04-06T12:00:00.000,13.43724,VETA LARGA-21205524,CUNDINAMARCA,ZIPAQUIRÁ,ALTO MAGDALENA,5.07475,-74.05747222,TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T01:46:00.000,18.4,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
0024015508,0068,2024-04-06T04:00:00.000,13.75431,HACIENDA LA MESA,CUNDINAMARCA,PASCA,ALTO MAGDALENA,4.30811111,-74.28175,TEMPERATURA DEL AIRE A 2 m,°C
2120500204,0068,2024-04-06T06:00:00.000,14.7,IDEAM PUENTE ARANDA,CUNDINAMARCA,BOGOTA D.C,ALTO MAGDALENA,4.62155611,-74.10470889,TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T21:20:00.000,18,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
0035075090,0068,2024-04-06T01:00:00.000,11.79363,MACHETA,CUNDINAMARCA,MACHETÁ,META,5.08333333,-73.65,TEMPERATURA DEL AIRE A 2 m,°C
0035075090,0068,2024-04-06T03:10:00.000,12.02468,MACHETA,CUNDINAMARCA,MACHETÁ,META,5.08333333,-73.65,TEMPERATURA DEL AIRE A 2 m,°C
0021205516,0068,2024-04-06T21:00:00.000,15.05928,NEGRETE,CUNDINAMARCA,PACHO,ALTO MAGDALENA,5.17269444,-73.85177778,TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T17:26:00.000,22.3,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
0021205519,0068,2024-04-06T06:00:00.000,11.02596,SAN FORTUNATO,CUNDINAMARCA,SIBATÉ,ALTO MAGDALENA,4.45211111,-74.27228806,TEMPERATURA DEL AIRE A 2 m,°C
0021205521,0068,2024-04-06T23:00:00.000,8.590428,SANTA HELENA,CUNDINAMARCA,LA CALERA,ALTO MAGDALENA,4.73780972,-73.93579389,TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T10:54:00.000,22.7,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T12:38:00.000,23.3,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T01:58:00.000,18.4,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
0021205511,0068,2024-04-06T23:10:00.000,7.602276,EL OKAL,CUNDINAMARCA,VILLAGÓMEZ,ALTO MAGDALENA,5.00111111,-73.73333333,TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T08:40:00.000,18.5,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T19:44:00.000,19.4,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T22:02:00.000,17.9,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T22:30:00.000,17.4,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T06:02:00.000,17.6,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
0035075090,0068,2024-04-06T08:00:00.000,10.79016,MACHETA,CUNDINAMARCA,MACHETÁ,META,5.08333333,-73.65,TEMPERATURA DEL AIRE A 2 m,°C
0021205518,0068,2024-04-06T14:20:00.000,12.79678,SALITRE,CUNDINAMARCA,TAUSA,ALTO MAGDALENA,5.17136111,-74.01566667,TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T23:14:00.000,17.3,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
0021205525,0068,2024-04-06T17:10:00.000,14.58099,VILLA PINZON-21205525,CUNDINAMARCA,VILLAPINZÓN,ALTO MAGDALENA,5.22880556,-73.58475,TEMPERATURA DEL AIRE A 2 m,°C
0021205525,0068,2024-04-06T19:00:00.000,11.84812,VILLA PINZON-21205525,CUNDINAMARCA,VILLAPINZÓN,ALTO MAGDALENA,5.22880556,-73.58475,TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T05:30:00.000,17.7,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T08:38:00.000,18.5,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T14:40:00.000,25.4,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
0024015508,0068,2024-04-06T10:00:00.000,15.21619,HACIENDA LA MESA,CUNDINAMARCA,PASCA,ALTO MAGDALENA,4.30811111,-74.28175,TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T01:18:00.000,18.4,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
0021205511,0068,2024-04-06T00:10:00.000,11.30237,EL OKAL,CUNDINAMARCA,VILLAGÓMEZ,ALTO MAGDALENA,5.00111111,-73.73333333,TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T00:10:00.000,18.3,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T15:22:00.000,23.4,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T12:10:00.000,23.6,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T05:26:00.000,17.7,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
0021205518,0068,2024-04-06T07:00:00.000,8.342834,SALITRE,CUNDINAMARCA,TAUSA,ALTO MAGDALENA,5.17136111,-74.01566667,TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T04:48:00.000,17.9,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
0024015508,0068,2024-04-06T14:00:00.000,15.87221,HACIENDA LA MESA,CUNDINAMARCA,PASCA,ALTO MAGDALENA,4.30811111,-74.28175,TEMPERATURA DEL AIRE A 2 m,°C
0021205513,0068,2024-04-06T09:00:00.000,14.77258,LA RAMADA,CUNDINAMARCA,FUNZA,ALTO MAGDALENA,4.50457667,-74.18418667,TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T15:34:00.000,23.3,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
0021205516,0068,2024-04-06T08:00:00.000,17.19765,NEGRETE,CUNDINAMARCA,PACHO,ALTO MAGDALENA,5.17269444,-73.85177778,TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T11:02:00.000,23.1,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T19:20:00.000,19.8,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0068,2024-04-06T01:00:00.000,18.4,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,TEMPERATURA DEL AIRE A 2 m,°C
0035075090,0068,2024-04-06T13:10:00.000,16.58404,MACHETA,CUNDINAMARCA,MACHETÁ,META,5.08333333,-73.65,TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T06:04:00.000,17.6,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T11:34:00.000,23.8,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
0023065120,0068,2024-04-06T21:00:00.000,16.5,CABRERA LA,CUNDINAMARCA,PACHO,MEDIO MAGDALENA,5.14155556,-74.13936111,TEMPERATURA DEL AIRE A 2 m,°C
2120500204,0068,2024-04-06T15:00:00.000,21,IDEAM PUENTE ARANDA,CUNDINAMARCA,BOGOTA D.C,ALTO MAGDALENA,4.62155611,-74.10470889,TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T21:44:00.000,18.1,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T09:08:00.000,18.9,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T20:58:00.000,18.4,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
0024015507,0068,2024-04-06T19:00:00.000,10.83531,OJO DE AGUA,CUNDINAMARCA,SIMIJACA,SOGAMOSO,5.39227778,-73.85422222,TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T18:44:00.000,20.3,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T23:24:00.000,17.1,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T06:10:00.000,17.6,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
0021205511,0068,2024-04-06T11:10:00.000,13.69549,EL OKAL,CUNDINAMARCA,VILLAGÓMEZ,ALTO MAGDALENA,5.00111111,-73.73333333,TEMPERATURA DEL AIRE A 2 m,°C
0021205525,0068,2024-04-06T20:10:00.000,10.91686,VILLA PINZON-21205525,CUNDINAMARCA,VILLAPINZÓN,ALTO MAGDALENA,5.22880556,-73.58475,TEMPERATURA DEL AIRE A 2 m,°C
0021205670,0068,2024-04-06T15:00:00.000,17.5,FLORIDA LA,CUNDINAMARCA,ANOLAIMA,ALTO MAGDALENA,4.77088889,-74.43763889,TEMPERATURA DEL AIRE A 2 m,°C
0023065120,0068,2024-04-06T06:00:00.000,15.7,CABRERA LA,CUNDINAMARCA,PACHO,MEDIO MAGDALENA,5.14155556,-74.13936111,TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T16:34:00.000,24.5,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T00:38:00.000,18.4,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T13:26:00.000,22.4,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T16:24:00.000,24.1,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T21:08:00.000,18,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T12:58:00.000,22.3,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
0021205516,0068,2024-04-06T06:00:00.000,14.5338,NEGRETE,CUNDINAMARCA,PACHO,ALTO MAGDALENA,5.17269444,-73.85177778,TEMPERATURA DEL AIRE A 2 m,°C
0021205511,0068,2024-04-06T13:10:00.000,15.1686,EL OKAL,CUNDINAMARCA,VILLAGÓMEZ,ALTO MAGDALENA,5.00111111,-73.73333333,TEMPERATURA DEL AIRE A 2 m,°C
3502500135,0071,2024-04-06T03:40:00.000,18.3,GUAYABETAL POLLO OLIMPICO,CUNDINAMARCA,GUAYABETAL,META,4.22553,-73.81481,GPRS - TEMPERATURA DEL AIRE A 2 m,°C
0021205516,0068,2024-04-06T00:00:00.000,15.2394,NEGRETE,CUNDINAMARCA,PACHO,ALTO MAGDALENA,5.17269444,-73.85177778,TEMPERATURA DEL AIRE A 2 m,°C
